# Time	forces(pressure, viscous) moment(pressure, viscous)
1	(((1.02776e-06 4.18732e-10 -2.58627e-15) (1.09024e-05 1.13007e-09 4.29753e-11)) ((3.31461e-12 -3.52207e-11 -3.81099e-16) (1.01642e-11 -1.85993e-12 -1.49881e-10)))
2	(((1.24337e-06 1.67875e-09 -2.18706e-15) (6.91631e-06 9.31548e-10 2.18257e-10)) ((5.78359e-12 -2.95631e-11 -3.02828e-16) (1.05494e-11 2.50613e-13 -5.3373e-10)))
3	(((7.0615e-07 2.27462e-09 1.78899e-15) (5.04113e-06 8.65725e-10 2.93005e-10)) ((5.07251e-12 -7.74999e-12 -3.95112e-16) (8.46153e-12 8.73593e-13 -9.16273e-10)))
4	(((1.09041e-07 2.30691e-09 4.49269e-15) (3.99819e-06 1.01332e-09 3.20086e-10)) ((4.63068e-12 8.21198e-12 -7.19756e-16) (5.7016e-12 -1.87967e-12 -1.25024e-09)))
5	(((-6.15964e-08 1.20986e-09 4.4129e-15) (3.36537e-06 1.21293e-09 2.87809e-10)) ((4.03422e-12 1.12796e-11 -1.25143e-15) (4.59975e-12 -6.1304e-12 -1.45929e-09)))
6	(((1.62212e-07 -3.93589e-10 1.66318e-15) (2.93325e-06 1.1945e-09 2.77852e-10)) ((-8.12601e-13 7.40684e-12 -1.50127e-15) (4.44346e-12 -8.14235e-12 -1.57338e-09)))
7	(((4.48841e-07 -1.29773e-09 -7.19001e-16) (2.59477e-06 1.04156e-09 2.82159e-10)) ((-6.12927e-12 1.89081e-12 -1.33585e-15) (3.42053e-12 -7.91726e-12 -1.62129e-09)))
8	(((5.34803e-07 3.31413e-10 -3.70341e-16) (2.31181e-06 9.29277e-10 2.79517e-10)) ((-7.66448e-12 -2.34217e-12 -8.40941e-16) (2.23592e-12 -6.16192e-12 -1.62246e-09)))
9	(((4.23381e-07 2.6198e-09 1.5695e-15) (2.07715e-06 8.30932e-10 2.44155e-10)) ((-5.90794e-12 -3.91977e-12 -2.79395e-16) (1.3897e-12 -4.13706e-12 -1.59281e-09)))
10	(((2.77451e-07 3.85355e-09 3.4334e-15) (1.88788e-06 7.87784e-10 1.8194e-10)) ((-4.70018e-12 -1.69943e-12 6.79872e-17) (9.37616e-13 -3.45945e-12 -1.5439e-09)))
11	(((2.20723e-07 3.07027e-09 3.82724e-15) (1.73615e-06 7.43949e-10 1.50742e-10)) ((-5.15053e-12 1.60524e-12 1.59669e-16) (1.00987e-12 -3.23042e-12 -1.48768e-09)))
12	(((2.60538e-07 1.22781e-09 3.04358e-15) (1.60924e-06 6.55162e-10 1.37899e-10)) ((-6.38329e-12 3.41046e-12 1.40541e-16) (1.06903e-12 -2.50783e-12 -1.43016e-09)))
13	(((3.24807e-07 2.27685e-10 2.17072e-15) (1.49662e-06 5.37211e-10 1.30707e-10)) ((-7.62178e-12 3.20601e-12 1.82671e-16) (1.76865e-12 -1.56041e-12 -1.37181e-09)))
14	(((3.49279e-07 9.07918e-10 1.9767e-15) (1.39393e-06 4.44961e-10 1.17091e-10)) ((-8.48222e-12 1.25377e-12 3.02855e-16) (2.13073e-12 -4.30409e-13 -1.31244e-09)))
15	(((3.27424e-07 2.37918e-09 2.3267e-15) (1.30145e-06 4.18996e-10 9.84555e-11)) ((-9.16494e-12 -7.04587e-13 4.4783e-16) (2.11153e-12 6.012e-13 -1.25291e-09)))
16	(((2.9253e-07 3.39402e-09 2.75737e-15) (1.21994e-06 3.95961e-10 8.61694e-11)) ((-9.6212e-12 -1.32687e-12 5.34661e-16) (1.95457e-12 1.25349e-12 -1.19416e-09)))
17	(((2.74644e-07 3.33925e-09 2.87151e-15) (1.14837e-06 3.33366e-10 7.05479e-11)) ((-1.04526e-11 -8.58373e-13 5.37866e-16) (1.67596e-12 1.71613e-12 -1.13767e-09)))
