# Time	forces(pressure, viscous) moment(pressure, viscous)
1	(((9.5119e-07 3.8615e-09 -5.95051e-16) (1.47547e-05 -1.19708e-09 7.10058e-11)) ((1.47622e-11 -4.27352e-11 -8.47944e-16) (-1.41777e-11 1.67325e-12 -1.23042e-10)))
2	(((1.38439e-06 7.09485e-09 3.15406e-15) (1.03146e-05 -2.15143e-09 1.29301e-10)) ((2.3901e-11 -5.00552e-11 -5.02272e-15) (-2.24877e-11 -3.86957e-12 -3.18638e-10)))
3	(((1.19603e-06 7.47529e-09 1.12521e-14) (7.81251e-06 -2.99307e-09 2.06676e-10)) ((1.3487e-11 -3.36276e-11 -1.05513e-14) (-2.80134e-11 2.44244e-12 -6.35677e-10)))
4	(((6.7615e-07 6.00686e-09 2.05444e-14) (6.35691e-06 -3.79893e-09 2.40605e-10)) ((-4.5926e-12 -8.33084e-12 -1.50982e-14) (-3.15023e-11 4.84393e-12 -9.52104e-10)))
5	(((1.96446e-07 4.55929e-09 2.61209e-14) (5.40175e-06 -4.38738e-09 2.5917e-10)) ((-1.3404e-11 1.09564e-11 -1.6888e-14) (-3.3524e-11 5.84151e-12 -1.2411e-09)))
6	(((-1.71629e-08 3.24727e-09 2.48548e-14) (4.74062e-06 -5.17799e-09 2.73681e-10)) ((-1.10206e-11 1.89718e-11 -1.60994e-14) (-3.59268e-11 2.80604e-12 -1.50673e-09)))
7	(((4.40966e-08 2.5938e-09 1.9465e-14) (4.25369e-06 -5.96423e-09 2.9944e-10)) ((-4.17684e-12 1.71712e-11 -1.37619e-14) (-4.29999e-11 -8.74073e-13 -1.73562e-09)))
8	(((2.52293e-07 2.70038e-09 1.28489e-14) (3.86903e-06 -6.65912e-09 3.31055e-10)) ((2.1212e-12 9.9712e-12 -1.10496e-14) (-4.89155e-11 -3.70375e-12 -1.92059e-09)))
9	(((4.43522e-07 2.5945e-09 7.81768e-15) (3.54662e-06 -7.24853e-09 3.16369e-10)) ((4.19104e-12 2.68052e-12 -8.96026e-15) (-5.28237e-11 -4.97604e-12 -2.05089e-09)))
10	(((5.219e-07 2.30992e-09 5.2963e-15) (3.26812e-06 -7.58026e-09 3.04578e-10)) ((1.87743e-12 -2.08826e-12 -7.76818e-15) (-5.49524e-11 -4.86117e-12 -2.13286e-09)))
11	(((4.84116e-07 2.42689e-09 5.15838e-15) (3.0266e-06 -7.71629e-09 2.48646e-10)) ((-3.89756e-12 -3.58343e-12 -7.16382e-15) (-5.59556e-11 -3.87508e-12 -2.17883e-09)))
12	(((3.90145e-07 2.67692e-09 5.85835e-15) (2.8184e-06 -7.60672e-09 1.8397e-10)) ((-1.07823e-11 -2.42062e-12 -6.8725e-15) (-5.53784e-11 -2.98455e-12 -2.19533e-09)))
13	(((3.06449e-07 2.93959e-09 6.18032e-15) (2.6394e-06 -7.4184e-09 1.49548e-10)) ((-1.51236e-11 5.29429e-13 -6.64303e-15) (-5.32158e-11 -2.80558e-12 -2.19103e-09)))
14	(((2.70228e-07 3.12856e-09 5.74575e-15) (2.48421e-06 -7.27825e-09 1.35701e-10)) ((-1.62132e-11 3.21214e-12 -6.29415e-15) (-5.11603e-11 -2.38459e-12 -2.17368e-09)))
15	(((2.81588e-07 3.10018e-09 4.71946e-15) (2.34736e-06 -7.17145e-09 1.37472e-10)) ((-1.48095e-11 4.85993e-12 -5.79614e-15) (-4.97207e-11 -1.79893e-12 -2.15064e-09)))
16	(((3.16089e-07 2.86723e-09 3.75125e-15) (2.22423e-06 -7.04654e-09 1.50447e-10)) ((-1.26916e-11 5.25965e-12 -5.24325e-15) (-4.87386e-11 -1.48192e-12 -2.12351e-09)))
17	(((3.46052e-07 2.62086e-09 3.27934e-15) (2.11159e-06 -6.92615e-09 1.61209e-10)) ((-1.08281e-11 5.05013e-12 -4.79578e-15) (-4.74096e-11 -1.14602e-12 -2.08994e-09)))
18	(((3.56049e-07 2.6201e-09 3.3102e-15) (2.00779e-06 -6.76647e-09 1.63632e-10)) ((-1.02596e-11 4.40107e-12 -4.41646e-15) (-4.59182e-11 -7.94011e-13 -2.05115e-09)))
19	(((3.46797e-07 2.79007e-09 3.65867e-15) (1.91223e-06 -6.59286e-09 1.58288e-10)) ((-1.08917e-11 3.87156e-12 -4.12859e-15) (-4.4428e-11 -3.37881e-13 -2.0069e-09)))
20	(((3.28931e-07 2.98028e-09 3.9852e-15) (1.82449e-06 -6.40088e-09 1.43903e-10)) ((-1.14121e-11 3.40552e-12 -3.87408e-15) (-4.28482e-11 2.31244e-13 -1.95933e-09)))
21	(((3.13759e-07 3.09319e-09 4.06719e-15) (1.74405e-06 -6.20526e-09 1.30377e-10)) ((-1.14634e-11 3.33217e-12 -3.6406e-15) (-4.12946e-11 7.21607e-13 -1.90966e-09)))
22	(((3.07045e-07 3.14641e-09 3.91085e-15) (1.6701e-06 -6.00771e-09 1.21778e-10)) ((-1.14437e-11 3.30677e-12 -3.41523e-15) (-3.98214e-11 1.16035e-12 -1.859e-09)))
23	(((3.08139e-07 3.15386e-09 3.43812e-15) (1.6017e-06 -5.8107e-09 1.14655e-10)) ((-1.12546e-11 3.42088e-12 -3.21224e-15) (-3.84043e-11 1.53932e-12 -1.80854e-09)))
24	(((3.12441e-07 3.07697e-09 2.81061e-15) (1.53799e-06 -5.60775e-09 1.11944e-10)) ((-1.1222e-11 3.5206e-12 -3.05124e-15) (-3.6813e-11 1.81444e-12 -1.75877e-09)))
25	(((3.15414e-07 2.95589e-09 2.26125e-15) (1.47831e-06 -5.39805e-09 1.05329e-10)) ((-1.15696e-11 3.33501e-12 -2.89932e-15) (-3.55856e-11 2.0829e-12 -1.71018e-09)))
26	(((3.14851e-07 2.86452e-09 1.82607e-15) (1.42225e-06 -5.20149e-09 1.00362e-10)) ((-1.20126e-11 3.12262e-12 -2.78345e-15) (-3.42549e-11 2.36851e-12 -1.66274e-09)))
27	(((3.11362e-07 2.7903e-09 1.57514e-15) (1.36955e-06 -5.01601e-09 9.64013e-11)) ((-1.26148e-11 2.70722e-12 -2.69368e-15) (-3.29835e-11 2.71057e-12 -1.61621e-09)))
28	(((3.06971e-07 2.76943e-09 1.44467e-15) (1.32002e-06 -4.85116e-09 9.243e-11)) ((-1.31361e-11 2.62505e-12 -2.59081e-15) (-3.17109e-11 2.96207e-12 -1.57043e-09)))
29	(((3.03458e-07 2.85334e-09 1.43412e-15) (1.27346e-06 -4.69768e-09 8.50519e-11)) ((-1.33903e-11 2.62498e-12 -2.48696e-15) (-3.05535e-11 3.22507e-12 -1.52552e-09)))
30	(((3.01464e-07 3.00172e-09 1.40916e-15) (1.22962e-06 -4.55042e-09 7.85422e-11)) ((-1.32982e-11 2.71928e-12 -2.38332e-15) (-2.94406e-11 3.48923e-12 -1.48171e-09)))
31	(((3.00535e-07 3.12281e-09 1.2771e-15) (1.18824e-06 -4.40876e-09 7.66163e-11)) ((-1.31479e-11 2.79615e-12 -2.28435e-15) (-2.83029e-11 3.7251e-12 -1.43899e-09)))
32	(((2.9978e-07 3.11195e-09 1.16632e-15) (1.14909e-06 -4.27141e-09 7.20572e-11)) ((-1.2666e-11 2.67656e-12 -2.19175e-15) (-2.73404e-11 3.9325e-12 -1.39762e-09)))
33	(((2.98521e-07 3.00132e-09 1.00796e-15) (1.11196e-06 -4.13685e-09 6.98466e-11)) ((-1.26866e-11 2.45619e-12 -2.11002e-15) (-2.62119e-11 4.03972e-12 -1.35772e-09)))
34	(((2.96628e-07 2.77109e-09 9.19933e-16) (1.07672e-06 -4.00633e-09 6.54206e-11)) ((-1.236e-11 2.02913e-12 -2.03579e-15) (-2.52932e-11 4.15566e-12 -1.31918e-09)))
35	(((2.94441e-07 2.62223e-09 8.54042e-16) (1.04324e-06 -3.88047e-09 6.42826e-11)) ((-1.23438e-11 1.69759e-12 -1.95675e-15) (-2.43143e-11 4.24451e-12 -1.28198e-09)))
36	(((2.92312e-07 2.5422e-09 8.69245e-16) (1.01141e-06 -3.75874e-09 6.14479e-11)) ((-1.20873e-11 1.48583e-12 -1.88373e-15) (-2.34594e-11 4.3189e-12 -1.24612e-09)))
37	(((2.90439e-07 2.54365e-09 8.57089e-16) (9.81123e-07 -3.64385e-09 5.95923e-11)) ((-1.1825e-11 1.47033e-12 -1.80851e-15) (-2.26666e-11 4.33881e-12 -1.21152e-09)))
38	(((2.88886e-07 2.57903e-09 8.05397e-16) (9.52274e-07 -3.53331e-09 5.52916e-11)) ((-1.13487e-11 1.49876e-12 -1.73674e-15) (-2.19491e-11 4.33434e-12 -1.17808e-09)))
39	(((2.8755e-07 2.672e-09 6.84843e-16) (9.24763e-07 -3.42582e-09 5.21374e-11)) ((-1.09057e-11 1.59605e-12 -1.67267e-15) (-2.11524e-11 4.29041e-12 -1.14593e-09)))
40	(((2.86292e-07 2.85084e-09 5.48208e-16) (8.98492e-07 -3.31892e-09 5.14657e-11)) ((-1.05857e-11 1.61525e-12 -1.61064e-15) (-2.02213e-11 4.26671e-12 -1.11492e-09)))
41	(((2.84942e-07 2.95868e-09 3.73809e-16) (8.73379e-07 -3.2171e-09 4.851e-11)) ((-1.02647e-11 1.61663e-12 -1.55662e-15) (-1.94638e-11 4.20848e-12 -1.08497e-09)))
42	(((2.83487e-07 3.0541e-09 2.58311e-16) (8.49353e-07 -3.1182e-09 4.58221e-11)) ((-1.00946e-11 1.49759e-12 -1.50826e-15) (-1.86932e-11 4.17157e-12 -1.05594e-09)))
43	(((2.81993e-07 3.08111e-09 2.11409e-16) (8.26349e-07 -3.02316e-09 4.37029e-11)) ((-1.00608e-11 1.29492e-12 -1.46577e-15) (-1.79139e-11 4.14268e-12 -1.02786e-09)))
