# Time	forces(pressure, viscous) moment(pressure, viscous)
0.00012	(((-3.41669e-08 7.98368e-12 -1.99789e-13) (-6.8946e-09 -2.80946e-09 9.1205e-13)) ((3.38955e-13 2.66075e-13 2.40205e-13) (-1.0079e-13 8.83411e-13 2.66932e-11)))
0.000264	(((-1.08831e-07 2.3724e-11 -2.82778e-12) (-1.40702e-08 6.21607e-10 -1.16077e-11)) ((2.19585e-12 2.23726e-13 7.83563e-13) (-2.47419e-12 1.7948e-12 2.93179e-10)))
0.0004368	(((-1.98129e-07 3.19692e-10 -8.70413e-12) (-2.75059e-08 2.40904e-09 -7.74575e-12)) ((2.281e-12 -4.00929e-13 -8.69396e-13) (-2.4296e-12 -1.27503e-12 5.86095e-10)))
0.00064416	(((-3.05851e-07 7.99633e-11 -7.31003e-12) (-4.27779e-08 3.21354e-09 2.50701e-12)) ((6.19653e-12 5.96002e-13 2.07037e-12) (-7.42664e-12 5.04143e-12 6.66346e-10)))
0.000892992	(((-4.33513e-07 3.59027e-10 -5.40221e-12) (-7.6661e-08 1.24018e-09 3.66843e-13)) ((3.54829e-12 -9.73122e-14 -4.23548e-13) (-2.85734e-12 -1.43305e-12 4.05266e-11)))
0.00119159	(((-5.8769e-07 -1.31393e-10 -5.31399e-11) (-8.22959e-08 3.62452e-09 1.21302e-10)) ((8.87525e-12 2.12425e-12 -4.07999e-12) (-6.70753e-12 8.62124e-12 1.0251e-09)))
0.00154991	(((-7.70852e-07 8.89671e-10 -6.61038e-12) (-1.37394e-07 2.69049e-09 -2.52684e-11)) ((6.59814e-12 -3.72729e-12 -1.21448e-12) (-6.57057e-12 -7.59678e-12 7.77308e-11)))
0.00197989	(((-9.91448e-07 1.14659e-09 1.84243e-11) (-1.45663e-07 8.29042e-09 -1.34458e-10)) ((1.48816e-11 3.0109e-12 1.72099e-11) (-9.64166e-12 3.37105e-12 1.69737e-09)))
0.00249587	(((-1.25525e-06 6.68535e-10 -3.7583e-11) (-1.99636e-07 1.36324e-08 1.30555e-10)) ((2.54536e-11 1.60145e-12 2.23516e-12) (-2.21116e-11 9.75123e-12 1.41811e-09)))
0.00311504	(((-1.56796e-06 5.36482e-10 7.79821e-11) (-2.67705e-07 7.85743e-09 -4.19308e-10)) ((2.0489e-11 6.21554e-12 2.11802e-11) (-2.0295e-11 2.28915e-11 1.39501e-09)))
0.00385805	(((-1.94257e-06 1.93969e-09 -1.94296e-11) (-3.17974e-07 1.71861e-08 -8.10614e-11)) ((3.6569e-11 8.75543e-13 1.14038e-11) (-2.77447e-11 5.94446e-15 1.80977e-09)))
0.00474966	(((-2.3889e-06 1.16013e-09 -4.53952e-11) (-4.02565e-07 2.41275e-08 -5.22808e-10)) ((4.88767e-11 2.64872e-12 2.49411e-11) (-4.5054e-11 1.73554e-11 2.28169e-09)))
0.00581959	(((-2.91736e-06 2.52753e-09 -2.90934e-11) (-4.87394e-07 2.32858e-08 -8.2213e-11)) ((5.91091e-11 1.34109e-12 1.762e-11) (-4.10779e-11 -9.07953e-13 2.13e-09)))
0.00710351	(((-3.53859e-06 2.38978e-09 -2.45254e-11) (-6.43634e-07 2.37941e-08 -1.09399e-10)) ((2.45309e-11 -1.93352e-11 -4.84783e-12) (-3.1282e-11 -4.43174e-11 1.05888e-09)))
0.00864421	(((-4.28456e-06 2.52629e-09 8.51258e-11) (-7.14923e-07 1.33129e-08 -3.29833e-10)) ((5.16946e-11 1.41493e-11 4.06184e-11) (-4.56573e-11 2.75232e-11 2.4194e-09)))
0.0104931	(((-5.15794e-06 -4.88272e-09 2.83091e-12) (-9.66336e-07 -1.34862e-08 1.27378e-10)) ((4.74023e-11 -2.38392e-11 1.92558e-10) (-2.57349e-11 -5.96228e-11 1.20911e-09)))
0.0127117	(((-6.18994e-06 7.88786e-09 1.8176e-10) (-1.1275e-06 3.1738e-08 -3.35176e-10)) ((5.07603e-11 -2.81053e-11 -1.34262e-10) (-3.58332e-11 -5.14033e-11 7.05285e-10)))
0.015374	(((-7.38251e-06 -5.774e-09 1.29966e-10) (-1.33498e-06 -1.01051e-08 1.06134e-10)) ((6.81316e-11 -3.41961e-11 2.86004e-10) (-3.13682e-11 -8.00014e-11 1.33236e-09)))
0.0185688	(((-8.76889e-06 1.03643e-08 5.84449e-10) (-1.53894e-06 3.98005e-08 -2.52842e-11)) ((8.83567e-11 -4.05968e-11 -1.98941e-10) (-3.73089e-11 -7.64432e-11 6.48871e-10)))
0.0224026	(((-1.0373e-05 1.66755e-08 -1.19619e-09) (-1.78482e-06 -7.06099e-08 1.00999e-09)) ((1.77137e-10 1.3235e-11 -1.01633e-09) (-7.97287e-11 4.74433e-11 -4.09608e-09)))
0.0270031	(((-1.21589e-05 2.09686e-08 -1.38984e-09) (-1.9629e-06 -2.65609e-08 1.51269e-09)) ((1.89826e-10 2.47747e-11 -9.06067e-10) (-8.99108e-11 2.55578e-11 -3.40259e-09)))
0.0325237	(((-1.45301e-05 -6.24709e-09 4.35335e-10) (-2.1218e-06 5.00297e-08 -7.45782e-10)) ((4.75498e-11 -5.07276e-11 1.22087e-10) (-6.31324e-11 -1.93087e-10 4.48598e-09)))
0.0391484	(((-1.68063e-05 -3.87167e-09 2.99792e-10) (-2.49947e-06 8.11222e-09 -5.76343e-10)) ((2.91025e-10 -1.80293e-11 -2.84104e-10) (1.06064e-10 1.14704e-10 6.24969e-09)))
0.0470981	(((-1.90985e-05 -1.08959e-08 1.56447e-09) (-2.59264e-06 -1.32641e-08 1.37922e-10)) ((2.56269e-10 -2.78498e-11 9.59109e-10) (3.96468e-12 5.60324e-11 6.37252e-09)))
0.0566377	(((-2.13511e-05 3.07196e-09 1.68233e-09) (-2.87477e-06 -1.85967e-08 -8.90869e-10)) ((2.46995e-10 -4.27003e-11 9.30066e-11) (-6.46866e-11 3.6316e-12 7.44501e-09)))
0.0680853	(((-2.31719e-05 -5.7632e-10 1.46486e-10) (-3.09208e-06 9.82403e-10 -6.9644e-10)) ((3.18949e-13 -5.55056e-11 -3.79693e-10) (4.00672e-11 -9.82507e-11 -1.92164e-10)))
0.0818223	(((-2.44416e-05 -1.31181e-08 1.63126e-09) (-3.05204e-06 1.27259e-07 1.6014e-09)) ((3.85044e-10 -6.13e-11 4.11273e-10) (3.95717e-11 -1.38927e-10 1.32303e-08)))
